host,port,service,cve,cvss_score
127.0.0.1,5000,http,VERACODE:43894,9.8
127.0.0.1,5000,http,OSV:BIT-PYTHON-2025-13836,9.1
127.0.0.1,5000,http,CVE-2025-13836,9.1
127.0.0.1,5000,http,OSV:BIT-PYTHON-2023-36632,7.5
127.0.0.1,5000,http,CVE-2023-36632,7.5
127.0.0.1,5000,http,CVE-2022-0391,7.5
127.0.0.1,5000,http,CVE-2021-3737,7.5
127.0.0.1,5000,http,OSV:BIT-PYTHON-2024-4030,7.1
127.0.0.1,5000,http,OSV:BIT-PYTHON-2025-12781,6.3
127.0.0.1,5000,http,OSV:BIT-PYTHON-2025-12084,6.3
127.0.0.1,5000,http,CVE-2025-12084,6.3
127.0.0.1,5000,http,OSV:BIT-PYTHON-2026-0672,6.0
127.0.0.1,5000,http,OSV:BIT-PYTHON-2025-15282,6.0
127.0.0.1,5000,http,VERACODE:43715,5.9
127.0.0.1,5000,http,OSV:BIT-PYTHON-2026-0865,5.9
127.0.0.1,5000,http,OSV:BIT-PYTHON-2025-15367,5.9
127.0.0.1,5000,http,OSV:BIT-PYTHON-2025-15366,5.9
127.0.0.1,5000,http,OSV:BIT-PYTHON-2025-11468,5.7
127.0.0.1,5000,http,CVE-2021-3426,5.7
127.0.0.1,5000,http,OSV:BIT-PYTHON-2025-13837,5.5
127.0.0.1,5000,http,CVE-2025-13837,5.5
127.0.0.1,5000,http,VERACODE:43798,5.3
127.0.0.1,5000,http,CVE-2021-4189,5.3
127.0.0.1,5000,http,OSV:BIT-PYTHON-2024-3220,2.3
127.0.0.1,5000,http,OSV:BIT-PYTHON-2025-6075,1.8
